stockCount,storeStreet,storeState,storeCity,itemID
7723,"875 Phillips Canyon",Florida,Garciaside,5
4858,"879 Stephens Mountain",Oregon,Ashleymouth,5
1766,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth",5
2983,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland",5
954,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus",6
5835,"09188 Colleen Overpass",Connecticut,"Port Christopherland",6
5023,"110 Brown Terrace Suite 431","South Carolina","North Sheri",6
1329,"1127 Drake Manors",Wisconsin,Princehaven,6
5496,"14257 Kelley Spring Suite 397",Oregon,Joannemouth,6
8765,"2378 Franklin Walk",Maryland,"East Julieside",6
9856,"321 Caldwell View Apt. 900",Missouri,Jenniferport,6
7794,"330 Christina Fork",Hawaii,"West Larry",6
4671,"336 Robert Trace",Arizona,"West Veronicashire",6
7249,"360 Hall Centers",Minnesota,"New Rachel",6
1845,"3925 Williams Causeway Apt. 462",Colorado,Theresatown,6
7995,"4092 Donald Union Suite 517","South Carolina",Kington,6
8455,"4148 Mark Mountains Apt. 333",Virginia,Nathanville,6
4583,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt",6
4077,"42314 Alexa Court Suite 700",Nebraska,Christinafurt,6
4898,"42828 Gonzalez Prairie",Alabama,"New Roy",6
9174,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth,6
8363,"4381 King Locks",Nebraska,Stephensview,6
9583,"495 Kimberly Place","Rhode Island","Lake Robertfort",6
4707,"5641 Chapman Springs Apt. 995",Vermont,Fullerton,6
6271,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony",6
7588,"60694 Angela Turnpike Suite 662",Maine,Brownmouth,6
6375,"687 Michelle Forges",Michigan,"Port Brian",6
3446,"70220 Lauren Point",Maryland,"New Charles",6
2713,"79638 Liu Throughway Suite 871",Florida,Copelandville,6
8943,"84195 Robinson Highway Suite 441","New York","East Toni",6
6673,"875 Phillips Canyon",Florida,Garciaside,6
1054,"879 Stephens Mountain",Oregon,Ashleymouth,6
8538,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth",6
3650,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland",6
425,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus",7
3656,"09188 Colleen Overpass",Connecticut,"Port Christopherland",7
4575,"110 Brown Terrace Suite 431","South Carolina","North Sheri",7
7567,"1127 Drake Manors",Wisconsin,Princehaven,7
4086,"14257 Kelley Spring Suite 397",Oregon,Joannemouth,7
4042,"2378 Franklin Walk",Maryland,"East Julieside",7
1983,"321 Caldwell View Apt. 900",Missouri,Jenniferport,7
277,"330 Christina Fork",Hawaii,"West Larry",7
3533,"336 Robert Trace",Arizona,"West Veronicashire",7
4732,"360 Hall Centers",Minnesota,"New Rachel",7
7379,"3925 Williams Causeway Apt. 462",Colorado,Theresatown,7
4154,"4092 Donald Union Suite 517","South Carolina",Kington,7
5850,"4148 Mark Mountains Apt. 333",Virginia,Nathanville,7
6607,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt",7
585,"42314 Alexa Court Suite 700",Nebraska,Christinafurt,7
1059,"42828 Gonzalez Prairie",Alabama,"New Roy",7
5459,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth,7
1564,"4381 King Locks",Nebraska,Stephensview,7
7803,"495 Kimberly Place","Rhode Island","Lake Robertfort",7
8352,"5641 Chapman Springs Apt. 995",Vermont,Fullerton,7
9091,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony",7
3442,"60694 Angela Turnpike Suite 662",Maine,Brownmouth,7
547,"687 Michelle Forges",Michigan,"Port Brian",7
989,"70220 Lauren Point",Maryland,"New Charles",7
7882,"79638 Liu Throughway Suite 871",Florida,Copelandville,7
3591,"84195 Robinson Highway Suite 441","New York","East Toni",7
9002,"875 Phillips Canyon",Florida,Garciaside,7
5006,"879 Stephens Mountain",Oregon,Ashleymouth,7
5834,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth",7
4887,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland",7
795,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus",8
936,"09188 Colleen Overpass",Connecticut,"Port Christopherland",8
2330,"110 Brown Terrace Suite 431","South Carolina","North Sheri",8
694,"1127 Drake Manors",Wisconsin,Princehaven,8
8680,"14257 Kelley Spring Suite 397",Oregon,Joannemouth,8
9087,"2378 Franklin Walk",Maryland,"East Julieside",8
5698,"321 Caldwell View Apt. 900",Missouri,Jenniferport,8
107,"330 Christina Fork",Hawaii,"West Larry",8
136,"336 Robert Trace",Arizona,"West Veronicashire",8
1412,"360 Hall Centers",Minnesota,"New Rachel",8
3694,"3925 Williams Causeway Apt. 462",Colorado,Theresatown,8
1583,"4092 Donald Union Suite 517","South Carolina",Kington,8
656,"4148 Mark Mountains Apt. 333",Virginia,Nathanville,8
947,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt",8
4295,"42314 Alexa Court Suite 700",Nebraska,Christinafurt,8
2734,"42828 Gonzalez Prairie",Alabama,"New Roy",8
1079,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth,8
8001,"4381 King Locks",Nebraska,Stephensview,8
8531,"495 Kimberly Place","Rhode Island","Lake Robertfort",8
8899,"5641 Chapman Springs Apt. 995",Vermont,Fullerton,8
6065,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony",8
5334,"60694 Angela Turnpike Suite 662",Maine,Brownmouth,8
1294,"687 Michelle Forges",Michigan,"Port Brian",8
1315,"70220 Lauren Point",Maryland,"New Charles",8
8760,"79638 Liu Throughway Suite 871",Florida,Copelandville,8
9722,"84195 Robinson Highway Suite 441","New York","East Toni",8
7002,"875 Phillips Canyon",Florida,Garciaside,8
5245,"879 Stephens Mountain",Oregon,Ashleymouth,8
9979,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth",8
8285,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland",8
3172,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus",9
1939,"09188 Colleen Overpass",Connecticut,"Port Christopherland",9
7819,"110 Brown Terrace Suite 431","South Carolina","North Sheri",9
5615,"1127 Drake Manors",Wisconsin,Princehaven,9
6421,"14257 Kelley Spring Suite 397",Oregon,Joannemouth,9
929,"2378 Franklin Walk",Maryland,"East Julieside",9
2277,"321 Caldwell View Apt. 900",Missouri,Jenniferport,9
110,"330 Christina Fork",Hawaii,"West Larry",9
7642,"336 Robert Trace",Arizona,"West Veronicashire",9
6763,"360 Hall Centers",Minnesota,"New Rachel",9
914,"3925 Williams Causeway Apt. 462",Colorado,Theresatown,9
5950,"4092 Donald Union Suite 517","South Carolina",Kington,9
3108,"4148 Mark Mountains Apt. 333",Virginia,Nathanville,9
152,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt",9
4535,"42314 Alexa Court Suite 700",Nebraska,Christinafurt,9
6857,"42828 Gonzalez Prairie",Alabama,"New Roy",9
5509,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth,9
9000,"4381 King Locks",Nebraska,Stephensview,9
5467,"495 Kimberly Place","Rhode Island","Lake Robertfort",9
2007,"5641 Chapman Springs Apt. 995",Vermont,Fullerton,9
5969,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony",9
4328,"60694 Angela Turnpike Suite 662",Maine,Brownmouth,9
7925,"687 Michelle Forges",Michigan,"Port Brian",9
4442,"70220 Lauren Point",Maryland,"New Charles",9
6880,"79638 Liu Throughway Suite 871",Florida,Copelandville,9
9095,"84195 Robinson Highway Suite 441","New York","East Toni",9
2040,"875 Phillips Canyon",Florida,Garciaside,9
647,"879 Stephens Mountain",Oregon,Ashleymouth,9
6400,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth",9
3937,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland",9
5127,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus",10
2518,"09188 Colleen Overpass",Connecticut,"Port Christopherland",10
3716,"110 Brown Terrace Suite 431","South Carolina","North Sheri",10
5347,"1127 Drake Manors",Wisconsin,Princehaven,10
4794,"14257 Kelley Spring Suite 397",Oregon,Joannemouth,10
6687,"2378 Franklin Walk",Maryland,"East Julieside",10
7278,"321 Caldwell View Apt. 900",Missouri,Jenniferport,10
3516,"330 Christina Fork",Hawaii,"West Larry",10
7198,"336 Robert Trace",Arizona,"West Veronicashire",10
1901,"360 Hall Centers",Minnesota,"New Rachel",10
4512,"3925 Williams Causeway Apt. 462",Colorado,Theresatown,10
8501,"4092 Donald Union Suite 517","South Carolina",Kington,10
6388,"4148 Mark Mountains Apt. 333",Virginia,Nathanville,10
465,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt",10
4435,"42314 Alexa Court Suite 700",Nebraska,Christinafurt,10
4549,"42828 Gonzalez Prairie",Alabama,"New Roy",10
6616,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth,10
5215,"4381 King Locks",Nebraska,Stephensview,10
7538,"495 Kimberly Place","Rhode Island","Lake Robertfort",10
7279,"5641 Chapman Springs Apt. 995",Vermont,Fullerton,10
2817,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony",10
1720,"60694 Angela Turnpike Suite 662",Maine,Brownmouth,10
9021,"687 Michelle Forges",Michigan,"Port Brian",10
442,"70220 Lauren Point",Maryland,"New Charles",10
434,"79638 Liu Throughway Suite 871",Florida,Copelandville,10
6579,"84195 Robinson Highway Suite 441","New York","East Toni",10
9938,"875 Phillips Canyon",Florida,Garciaside,10
7964,"879 Stephens Mountain",Oregon,Ashleymouth,10
1622,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth",10
7519,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland",10
7502,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus",11
5106,"09188 Colleen Overpass",Connecticut,"Port Christopherland",11
2801,"110 Brown Terrace Suite 431","South Carolina","North Sheri",11
5112,"1127 Drake Manors",Wisconsin,Princehaven,11
1350,"14257 Kelley Spring Suite 397",Oregon,Joannemouth,11
1973,"2378 Franklin Walk",Maryland,"East Julieside",11
3917,"321 Caldwell View Apt. 900",Missouri,Jenniferport,11
6829,"330 Christina Fork",Hawaii,"West Larry",11
8914,"336 Robert Trace",Arizona,"West Veronicashire",11
1440,"360 Hall Centers",Minnesota,"New Rachel",11
4161,"3925 Williams Causeway Apt. 462",Colorado,Theresatown,11
1845,"4092 Donald Union Suite 517","South Carolina",Kington,11
3287,"4148 Mark Mountains Apt. 333",Virginia,Nathanville,11
510,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt",11
9923,"42314 Alexa Court Suite 700",Nebraska,Christinafurt,11
4323,"42828 Gonzalez Prairie",Alabama,"New Roy",11
2222,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth,11
8902,"4381 King Locks",Nebraska,Stephensview,11
5358,"495 Kimberly Place","Rhode Island","Lake Robertfort",11
1924,"5641 Chapman Springs Apt. 995",Vermont,Fullerton,11
6212,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony",11
4625,"60694 Angela Turnpike Suite 662",Maine,Brownmouth,11
6869,"687 Michelle Forges",Michigan,"Port Brian",11
6494,"70220 Lauren Point",Maryland,"New Charles",11
2231,"79638 Liu Throughway Suite 871",Florida,Copelandville,11
1452,"84195 Robinson Highway Suite 441","New York","East Toni",11
999,"875 Phillips Canyon",Florida,Garciaside,11
4813,"879 Stephens Mountain",Oregon,Ashleymouth,11
4720,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth",11
7252,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland",11
6719,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus",12
1338,"09188 Colleen Overpass",Connecticut,"Port Christopherland",12
1741,"110 Brown Terrace Suite 431","South Carolina","North Sheri",12
6992,"1127 Drake Manors",Wisconsin,Princehaven,12
1863,"14257 Kelley Spring Suite 397",Oregon,Joannemouth,12
9675,"2378 Franklin Walk",Maryland,"East Julieside",12
2298,"321 Caldwell View Apt. 900",Missouri,Jenniferport,12
6896,"330 Christina Fork",Hawaii,"West Larry",12
467,"336 Robert Trace",Arizona,"West Veronicashire",12
6250,"360 Hall Centers",Minnesota,"New Rachel",12
8352,"3925 Williams Causeway Apt. 462",Colorado,Theresatown,12
7819,"4092 Donald Union Suite 517","South Carolina",Kington,12
47,"4148 Mark Mountains Apt. 333",Virginia,Nathanville,12
5007,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt",12
5117,"42314 Alexa Court Suite 700",Nebraska,Christinafurt,12
5831,"42828 Gonzalez Prairie",Alabama,"New Roy",12
1719,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth,12
4073,"4381 King Locks",Nebraska,Stephensview,12
455,"495 Kimberly Place","Rhode Island","Lake Robertfort",12
3159,"5641 Chapman Springs Apt. 995",Vermont,Fullerton,12
6367,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony",12
1667,"60694 Angela Turnpike Suite 662",Maine,Brownmouth,12
7732,"687 Michelle Forges",Michigan,"Port Brian",12
612,"70220 Lauren Point",Maryland,"New Charles",12
8388,"79638 Liu Throughway Suite 871",Florida,Copelandville,12
4956,"84195 Robinson Highway Suite 441","New York","East Toni",12
5250,"875 Phillips Canyon",Florida,Garciaside,12
4468,"879 Stephens Mountain",Oregon,Ashleymouth,12
5047,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth",12
9787,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland",12
6508,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus",13
2123,"09188 Colleen Overpass",Connecticut,"Port Christopherland",13
3249,"110 Brown Terrace Suite 431","South Carolina","North Sheri",13
1514,"1127 Drake Manors",Wisconsin,Princehaven,13
9463,"14257 Kelley Spring Suite 397",Oregon,Joannemouth,13
4157,"2378 Franklin Walk",Maryland,"East Julieside",13
1424,"321 Caldwell View Apt. 900",Missouri,Jenniferport,13
6388,"330 Christina Fork",Hawaii,"West Larry",13
5388,"336 Robert Trace",Arizona,"West Veronicashire",13
2989,"360 Hall Centers",Minnesota,"New Rachel",13
8578,"3925 Williams Causeway Apt. 462",Colorado,Theresatown,13
9079,"4092 Donald Union Suite 517","South Carolina",Kington,13
2033,"4148 Mark Mountains Apt. 333",Virginia,Nathanville,13
5950,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt",13
3149,"42314 Alexa Court Suite 700",Nebraska,Christinafurt,13
3874,"42828 Gonzalez Prairie",Alabama,"New Roy",13
8502,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth,13
8540,"4381 King Locks",Nebraska,Stephensview,13
7213,"495 Kimberly Place","Rhode Island","Lake Robertfort",13
9427,"5641 Chapman Springs Apt. 995",Vermont,Fullerton,13
7248,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony",13
6686,"60694 Angela Turnpike Suite 662",Maine,Brownmouth,13
9707,"687 Michelle Forges",Michigan,"Port Brian",13
7355,"70220 Lauren Point",Maryland,"New Charles",13
2885,"79638 Liu Throughway Suite 871",Florida,Copelandville,13
5456,"84195 Robinson Highway Suite 441","New York","East Toni",13
596,"875 Phillips Canyon",Florida,Garciaside,13
2153,"879 Stephens Mountain",Oregon,Ashleymouth,13
737,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth",13
1374,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland",13
2646,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus",14
5615,"09188 Colleen Overpass",Connecticut,"Port Christopherland",14
6174,"110 Brown Terrace Suite 431","South Carolina","North Sheri",14
6041,"1127 Drake Manors",Wisconsin,Princehaven,14
3169,"14257 Kelley Spring Suite 397",Oregon,Joannemouth,14
8671,"2378 Franklin Walk",Maryland,"East Julieside",14
3956,"321 Caldwell View Apt. 900",Missouri,Jenniferport,14
8225,"330 Christina Fork",Hawaii,"West Larry",14
3047,"336 Robert Trace",Arizona,"West Veronicashire",14
1497,"360 Hall Centers",Minnesota,"New Rachel",14
8953,"3925 Williams Causeway Apt. 462",Colorado,Theresatown,14
6451,"4092 Donald Union Suite 517","South Carolina",Kington,14
7936,"4148 Mark Mountains Apt. 333",Virginia,Nathanville,14
1256,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt",14
2476,"42314 Alexa Court Suite 700",Nebraska,Christinafurt,14
9192,"42828 Gonzalez Prairie",Alabama,"New Roy",14
638,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth,14
7966,"4381 King Locks",Nebraska,Stephensview,14
9950,"495 Kimberly Place","Rhode Island","Lake Robertfort",14
54,"5641 Chapman Springs Apt. 995",Vermont,Fullerton,14
6162,"584 Ryan Mountain Apt. 396","South Dakota","New Anthony",14
8972,"60694 Angela Turnpike Suite 662",Maine,Brownmouth,14
1553,"687 Michelle Forges",Michigan,"Port Brian",14
4854,"70220 Lauren Point",Maryland,"New Charles",14
6615,"79638 Liu Throughway Suite 871",Florida,Copelandville,14
9833,"84195 Robinson Highway Suite 441","New York","East Toni",14
1574,"875 Phillips Canyon",Florida,Garciaside,14
7788,"879 Stephens Mountain",Oregon,Ashleymouth,14
6625,"882 Michael Ford Apt. 928",Connecticut,"New Jamesmouth",14
4316,"902 Jackson Mountains Suite 082",Colorado,"North Samanthaland",14
5016,"056 Lawrence Isle Apt. 609",Virginia,"Lake Marcus",15
7873,"09188 Colleen Overpass",Connecticut,"Port Christopherland",15
5620,"110 Brown Terrace Suite 431","South Carolina","North Sheri",15
2324,"1127 Drake Manors",Wisconsin,Princehaven,15
6553,"14257 Kelley Spring Suite 397",Oregon,Joannemouth,15
8192,"2378 Franklin Walk",Maryland,"East Julieside",15
6684,"321 Caldwell View Apt. 900",Missouri,Jenniferport,15
3944,"330 Christina Fork",Hawaii,"West Larry",15
3185,"336 Robert Trace",Arizona,"West Veronicashire",15
9001,"360 Hall Centers",Minnesota,"New Rachel",15
7824,"3925 Williams Causeway Apt. 462",Colorado,Theresatown,15
1908,"4092 Donald Union Suite 517","South Carolina",Kington,15
4509,"4148 Mark Mountains Apt. 333",Virginia,Nathanville,15
7331,"416 Robyn Walks",Wisconsin,"Lake Kathrynfurt",15
6362,"42314 Alexa Court Suite 700",Nebraska,Christinafurt,15
5905,"42828 Gonzalez Prairie",Alabama,"New Roy",15
4905,"43498 Chavez Alley Apt. 524",Nevada,Harrismouth,15
8178,"4381 King Locks",Nebraska,Stephensview,15
9337,"495 Kimberly Place","Rhode Island","Lake Robertfort",15
50,"5641 Chapman Springs Apt. 995",Vermont,Fullerton,15
